gene	log2FC_vs_int	log2FC_vs_pancHH	log2FC_vs_st	padj_vs_int	padj_vs_pancHH	padj_vs_st	SigVsMut	upInMut	nSig
Egf	0.697157949939647	0.626582513420761	-0.447075562846546	1	1	1	FALSE	FALSE	0
Fermt1	1.9383821701711	5.81270088702311	-0.567844679223388	1	1	1	FALSE	FALSE	0
Fgf2	0.491976820267474	0.56362004165772	-0.384544734333816	1	1	1	FALSE	FALSE	0
Fgf9	0.204218898869537	0.264953241569099	0.0156669129998147	1	1	1	FALSE	FALSE	0
Fgfr4	1.55506089575826	1.00811954397595	0.698118884767329	1	1	1	FALSE	FALSE	0
Fjx1	-0.22453778192582	0.0167483342770362	-0.301038143361577	1	1	1	FALSE	FALSE	0
Flot1	0.0819641182729944	0.110570815038569	0.0468280296177369	1	1	1	FALSE	FALSE	0
Gabbr1	-0.108504675751303	0.366374977552848	-0.0340363915979413	1	1	1	FALSE	FALSE	0
Gal	-2.4373791508805	0.391047589771439	-1.95445207991242	1	1	1	FALSE	FALSE	0
Gdf9	0.493253857968165	0.137206374908758	0.718192435606636	1	1	1	FALSE	FALSE	0
Gfap	-0.711861915658951	0.846373628583389	-0.868595050594672	1	1	1	FALSE	FALSE	0
Ghrh	-0.0108747429444031	2.64747306567195	2.59560421032367	1	1	1	FALSE	FALSE	0
Ghrl	5.3506125306235	3.61000862347642	2.54815154623277	1	1	1	FALSE	FALSE	0
Hilpda	0.494821889123929	0.393347402408367	0.307436453378806	1	1	1	FALSE	FALSE	0
Il1rap	-0.198291598804678	0.169065797624601	-0.410763471976013	1	1	1	FALSE	FALSE	0
Inha	-0.0326044034880458	0.410746987428557	-0.211762477404052	1	1	1	FALSE	FALSE	0
Inhbb	2.68550493085515	2.57079410984379	-0.554766365788652	1	1	1	FALSE	FALSE	0
Ins2	6.59553364485777	6.44221777133724	6.46084099246877	1	1	1	FALSE	FALSE	0
Lgi1	3.31703449379868	1.83021654659497	2.13069935777043	1	1	1	FALSE	FALSE	0
Ltbp4	0.310243370150643	0.268061929701467	-0.614180032773861	1	1	1	FALSE	FALSE	0
Mir26a-1	0.0159853108689218	0.427324411969973	-0.455375951896102	1	1	1	FALSE	FALSE	0
Nos2	1.27518570789866	2.1833138992948	5.19758930219906	1	1	1	FALSE	FALSE	0
Npff	-0.258805060045352	0.727874141840187	0.337327306627191	1	1	1	FALSE	FALSE	0
Nphp3	-0.0519921731465439	0.0857333246263316	0.140093057310567	1	1	1	FALSE	FALSE	0
Nptxr	0.960867857353943	0.664202035073025	0.787917652155384	1	1	1	FALSE	FALSE	0
Nrg3	2.15104754613354	2.35870798276359	0.490010319122354	1	1	1	FALSE	FALSE	0
Nrn1	2.50445588787975	0.756571217783255	0.131429924150922	1	1	1	FALSE	FALSE	0
Ntf5	0.596475135810334	0.760393697239768	1.00560731360875	1	1	0.776336913599233	FALSE	FALSE	0
Pdgfb	-0.295031392730222	4.35421425798329	-0.629401792510461	1	1	1	FALSE	FALSE	0
Pkd1	0.113260447800618	0.165832652848778	-0.0590798801345768	1	1	1	FALSE	FALSE	0
Ppt1	0.241307618141455	0.283045322235275	0.123822715332964	1	1	1	FALSE	FALSE	0
Rab11a	0.174239162528239	0.435160368230011	0.144010658385343	1	1	1	FALSE	FALSE	0
Reln	2.45367686380681	1.97677559063377	1.32705516570957	0.362622027244844	1	1	FALSE	FALSE	0
Ren1	0.781393013437062	0.615602379566112	-0.541245829616977	1	1	1	FALSE	FALSE	0
Retn	3.83678449482892	2.22280510608418	0.0290913191727996	1	1	1	FALSE	FALSE	0
S100b	1.01479489920653	1.22011491772766	-0.222444394576953	1	1	1	FALSE	FALSE	0
Sct	2.28646756748354	0.350300516272074	0.881282836599696	1	1	1	FALSE	FALSE	0
Sdcbp	0.154271305706639	0.266551294369132	0.130414690119979	1	1	1	FALSE	FALSE	0
Sez6	2.11282296006783	2.19422010827607	-1.39981588197324	1	1	1	FALSE	FALSE	0
Sfrp4	3.89112749465485	0.176303878744134	-2.0804906854471	1	1	1	FALSE	FALSE	0
Sfrp5	0.120888888291045	1.55735383274269	-0.245582770646563	1	1	1	FALSE	FALSE	0
Shh	-5.32026886374376	0	-7.22052114019658	1	1	1	FALSE	FALSE	0
Snca	-0.155843709527815	0.833975522615593	-2.28143859484376	1	1	0.336235022452203	FALSE	FALSE	0
Stx2	0.281796471772459	0.0736409153476868	0.220942341700468	1	1	1	FALSE	FALSE	0
Stx4a	0.0632206666678032	0.161802577830895	0.201136438770013	1	1	1	FALSE	FALSE	0
Sulf2	0.404642395147441	0.438683190004775	-0.0464361763521132	1	1	1	FALSE	FALSE	0
Tac1	6.60709958352325	6.45370715430557	0.905405758017024	1	1	1	FALSE	FALSE	0
Tnfsf11	4.94690186606894	0.376917699547769	0.576304465460787	1	1	1	FALSE	FALSE	0
Tnr	-2.91384648689011	2.27633472816151	-1.94080769446542	1	1	1	FALSE	FALSE	0
Tsku	0.161081042263576	0.181789230886959	0.125582892504357	1	1	1	FALSE	FALSE	0
Ucn2	1.89788656464025	1.72071603659007	1.00838637652053	1	1	1	FALSE	FALSE	0
Vgf	0.982702916181428	4.27215034453461	-0.348734083331082	1	1	1	FALSE	FALSE	0
Wnt3	3.32811340062889	2.7547108820928	0.490447877671453	1	1	1	FALSE	FALSE	0
Wnt6	0.901817222135876	1.61370308523067	-0.571452434523575	1	1	1	FALSE	FALSE	0
Wnt7b	0.846726611620332	2.42775301979819	0.495876811609823	1	1	1	FALSE	FALSE	0
Wnt9a	0.44068771564723	0.466231922865757	0.114632001854125	1	1	1	FALSE	FALSE	0
Wnt9b	0.130962120175267	3.38988197537637	0.53840417353667	1	1	1	FALSE	FALSE	0
