Entrez Gene ID	Symbol	MGI ID	Smad1/5 peaks minimal p-value in -8k~+3k	Smad4 peaks minimal p-value in -8k~+3k
67288	Sfrs12ip1	MGI:1914538		6.30E-09
12593	Cdyl	MGI:1339956		6.69E-09
16337	Insr	MGI:96575	2.83E-05	6.78E-09
18127	Nos3	MGI:97362	6.74E-04	6.78E-09
235574	Atp2c1	MGI:1889008		6.78E-09
18797	Plcb3	MGI:104778		6.78E-09
21423	Tcfe2a	MGI:98510		6.78E-09
71932	Ephx3	MGI:1919182		7.08E-09
22117	Tst	MGI:98852		7.74E-09
17385	Mmp11	MGI:97008		8.09E-09
103172	Chchd10	MGI:2143558		8.09E-09
59004	Pias4	MGI:2136940		8.09E-09
227632	Kcnt1	MGI:1924627		8.28E-09
233071	Snx26	MGI:2673998		8.28E-09
574428	Zmynd15	MGI:3603821		8.90E-09
94178	Mcoln1	MGI:1890498	3.75E-06	9.12E-09
12672	Chrm4	MGI:88399	3.93E-04	9.73E-09
11754	Aoc3	MGI:1306797	8.52E-04	9.73E-09
226049	Dmrt2	MGI:1330307		9.73E-09
26390	Mapkbp1	MGI:1347004		9.73E-09
64144	Mllt1	MGI:1927238		9.73E-09
240518	Peli3	MGI:1924963		9.73E-09
18971	Pold1	MGI:97741		9.73E-09
19377	Rai1	MGI:103291		9.73E-09
20679	Sox6	MGI:98368		9.73E-09
320332	Hist4h4	MGI:2448443		9.74E-09
18038	Nfkbil1	MGI:1340031	8.71E-07	1.03E-08
107771	Bmyc	MGI:88184		1.03E-08
14166	Fgf11	MGI:109167		1.03E-08
226646	Ndufs2	MGI:2385112		1.03E-08
239528	Eif2c2	MGI:2446632		1.07E-08
21761	Morf4l1	MGI:1096551		1.07E-08
11692	Gfer	MGI:107757	2.44E-04	1.10E-08
20974	Syngr3	MGI:1341881	2.44E-04	1.10E-08
20671	Sox17	MGI:107543		1.10E-08
224814	Abcc10	MGI:2386976	1.14E-05	1.14E-08
232798	Leng8	MGI:2142195		1.14E-08
67136	Kbtbd4	MGI:1914386	2.11E-05	1.20E-08
13831	Epc1	MGI:1278322		1.20E-08
105513	Chmp7	MGI:1913922		1.22E-08
72075	Ogfr	MGI:1919325		1.22E-08
17928	Myog	MGI:97276		1.22E-08
329795	Tmem67	MGI:1923928		1.22E-08
56327	Arl2	MGI:1928393	3.47E-04	1.24E-08
69596	2310035K24Rik	MGI:1916846		1.24E-08
67675	Cuta	MGI:1914925		1.24E-08
74322	Cxxc1	MGI:1921572		1.24E-08
114886	Cygb	MGI:2149481	3.12E-05	1.28E-08
223774	Alg12	MGI:2385025		1.28E-08
69660	Tmbim1	MGI:1916910	7.97E-10	1.42E-08
13845	Ephb3	MGI:104770	6.01E-04	1.42E-08
66379	2310016M24Rik	MGI:1913629		1.42E-08
19013	Ppara	MGI:104740		1.42E-08
20499	Slc12a7	MGI:1342283		1.42E-08
68634	Tm2d3	MGI:1915884		1.42E-08
270893	Tmem132e	MGI:2685490		1.42E-08
67921	Ube2f	MGI:1915171		1.42E-08
105450	Mmrn2	MGI:2385618		1.91E-08
20618	Sncg	MGI:1298397		1.91E-08
13498	Atn1	MGI:104725	1.89E-04	2.36E-08
240332	Slc6a7	MGI:2147363		2.36E-08
22017	Tpmt	MGI:98812		2.36E-08
22642	Zbtb17	MGI:107410		2.36E-08
78246	Phf23	MGI:1925496		2.52E-08
69306	Efcab9	MGI:1916556		2.66E-08
12029	Bcl6b	MGI:1278332		3.07E-08
16328	Cep250	MGI:108084		3.07E-08
50523	Lats2	MGI:1354386		3.07E-08
67547	Slc39a8	MGI:1914797		3.07E-08
74498	Gorasp1	MGI:1921748	1.89E-04	3.10E-08
276846	Pigs	MGI:2687325	6.97E-04	3.31E-08
68796	Tmem214	MGI:1916046		3.63E-08
64095	Gpr35	MGI:1929509		3.63E-08
193796	Kdm4b	MGI:2442355		3.63E-08
56173	Cldn14	MGI:1860425		3.64E-08
14284	Fosl2	MGI:102858		3.64E-08
19072	Prep	MGI:1270863		3.64E-08
19367	Rad9	MGI:1328356		3.84E-08
