Entrez Gene ID	Symbol	MGI ID	Smad1/5 peaks minimal p-value in -8k~+3k	Smad4 peaks minimal p-value in -8k~+3k
320800	9230112E08Rik	MGI:2444774		
109280	9330176C04Rik	MGI:1924762		
231014	9330182L06Rik	MGI:2443264		
442798	9630041A04Rik	MGI:3045242		
109314	Prr9	MGI:1925680		
68252	A030007L17Rik	-		
268859	A2bp1	MGI:1926224		
403202	A430093F15Rik	MGI:2685520		
214239	A430105I19Rik	MGI:2685199		
329562	A530013C23Rik	MGI:3041178		
319942	A530016L24Rik	MGI:2443020		
320913	A630098A13Rik	MGI:2445025		
208924	A730045E13Rik	MGI:2685430		
268391	A830031A19Rik	MGI:2685508		
109226	A930002I21Rik	MGI:1924480		
403174	A930005I04Rik	MGI:2684990		
243312	Elfn1	MGI:2442479		
102371	Gcom1	MGI:2142908		
215193	AA408296	MGI:2138080		
269774	Aak1	MGI:1098687		
382062	AB124611	MGI:3043001		
27404	Abca8b	MGI:1351668		
12780	Abcc2	MGI:1352447		
27409	Abcg5	MGI:1351659		
384214	Ephx4	MGI:2686228		
110446	Acat1	MGI:87870		
11423	Ache	MGI:87876		
11428	Aco1	MGI:87879		
11431	Acp1	MGI:87881		
94180	Acsbg1	MGI:2385656		
54130	Actr1a	MGI:1858964		
73353	Actrt2	MGI:1920603		
11482	Acvrl1	MGI:1338946		
66204	Acyp1	MGI:1913454		
11489	Adam12	MGI:105378		
11495	Adam2	MGI:1340894		
23792	Adam23	MGI:1345162		
71078	Adam30	MGI:1918328		
11501	Adam8	MGI:107825		
271127	Adamts16	MGI:2429637		
11516	Adcyap1	MGI:105094		
11517	Adcyap1r1	MGI:108449		
11518	Add1	MGI:87918		
11539	Adora1	MGI:99401		
11544	Adprh	MGI:1098234		
11550	Adra1d	MGI:106673		
209743	AF529169	MGI:2667167		
16764	Aff3	MGI:106927		
11596	Ager	MGI:893592		
228061	Agps	MGI:2443065		
11609	Agtr2	MGI:87966		
11624	Ahrr	MGI:1333776		
11625	Ahsg	MGI:107189		
192734	AI646023	MGI:2143657		
268354	Fam19a2	MGI:2143691		
11629	Aif1	MGI:1343098		
245522	Zc4h2	MGI:2679294		
11652	Akt2	MGI:104874		
11655	Alas1	MGI:87989		
56454	Aldh18a1	MGI:1888908		
72535	Aldh1b1	MGI:1919785		
11682	Alk	MGI:103305		
11688	Alox8	MGI:1098228		
105827	Amigo2	MGI:2145995		
109674	Ampd2	MGI:88016		
66156	Anapc11	MGI:1913406		
11602	Angpt4	MGI:1336887		
81702	Ankrd17	MGI:1932101		
109346	Ankrd39	MGI:1914816		
69538	Antxr1	MGI:1916788		
71914	Antxr2	MGI:1919164		
11772	Ap2a2	MGI:101920		
232910	Ap2s1	MGI:2141861		
23805	Apc2	MGI:1346052		
235606	Apeh	MGI:88041		
226548	Aph1a	MGI:2385110		
30878	Apln	MGI:1353624		
11808	Apoa4	MGI:88051		
11814	Apoc3	MGI:88055		
11818	Apoh	MGI:88058		
11826	Aqp1	MGI:103201		
11831	Aqp6	MGI:1341204		
64008	Aqp9	MGI:1891066		
11837	Rplp0	MGI:1927636		
11839	Areg	MGI:88068		
73910	Arhgap18	MGI:1921160		
232201	Arhgap25	MGI:2443687		
213498	Arhgef11	MGI:2441869		
226970	Arhgef4	MGI:2442507		
550619	Arid3c	MGI:3650624		
11864	Arnt2	MGI:107188		
74100	Arpp21	MGI:107562		
74008	Arsg	MGI:1921258		
11878	Arx	MGI:1097716		
68854	Asb11	MGI:1916104		
217217	Asb16	MGI:2654437		
65256	Asb2	MGI:1929743		
72323	Asb6	MGI:1919573		
56787	Ascl3	MGI:1928820		
215095	Astl	MGI:3046414		
53404	Atoh7	MGI:1355553		
320940	Atp11c	MGI:1859661		
74772	Atp13a2	MGI:1922022		
224079	Atp13a4	MGI:1924456		
11937	Atp2a1	MGI:105058		
320707	Atp2b3	MGI:1347353		
54411	Atp6ap1	MGI:109629		
70495	Atp6ap2	MGI:1917745		
68775	Atp6v1c2	MGI:1916025		
338375	Atp6v1g3	MGI:2450548		
50769	Atp8a2	MGI:1354710		
233189	Ctu1	MGI:2385277		
22589	Atrx	MGI:103067		
234564	AU018778	MGI:2142687		
74268	Aven	MGI:1921518		
11998	Avp	MGI:88121		
54140	Avpr1a	MGI:1859216		
239570	Ttc38	MGI:2146198		
105005	Fam84a	MGI:2145011		
213956	Fam83f	MGI:2146227		
210992	Lpcat1	MGI:2384812		
26877	B3galt1	MGI:1349403		
93961	B3galt5	MGI:2136878		
12012	Baat	MGI:106642		
56175	Bace2	MGI:1860440		
70369	Bag5	MGI:1917619		
107831	Bai1	MGI:1933736		
104416	Bap1	MGI:1206586		
79554	Gltpd1	MGI:1933107		
192173	BC003940	MGI:2384752		
230787	BC013712	MGI:2446213		
211039	BC016548	MGI:2448478		
212483	BC021381	MGI:2385851		
192653	Ttc36	MGI:2384760		
271278	BC024139	MGI:2442591		
232947	Lrrc68	MGI:2687042		
234677	Ces8	MGI:2384581		
229600	BC028528	MGI:2385885		
227622	BC029214	MGI:2442831		
70661	BC033915	MGI:2446296		
228642	BC034902	MGI:2677839		
207785	Csrnp2	MGI:2386852		
231128	BC037112	MGI:2447768		
224273	Crybg3	MGI:2676311		
223927	BC048502	MGI:2652828		
243535	BC048671	MGI:2679261		
223433	Fam105a	MGI:2687281		
237403	Lingo3	MGI:3609246		
432940	Fam105b	MGI:3577015		
216454	BC089597	MGI:3583955		
57278	Bcam	MGI:1929940		
76960	Bcas1	MGI:1924210		
12043	Bcl2	MGI:88138		
66813	Bcl2l14	MGI:1914063		
12053	Bcl6	MGI:107187		
54399	Bet1l	MGI:1913128		
12111	Bgn	MGI:88158		
83675	Bicc1	MGI:1933388		
57784	Bin3	MGI:1929883		
12154	Bmp10	MGI:1338820		
12162	Bmp7	MGI:103302		
171388	Bnipl	MGI:2384749		
270757	Bpil2	MGI:3026884		
228796	Bpil3	MGI:2684965		
12223	Btc	MGI:99439		
56057	Btg4	MGI:1860140		
240074	Btnl1	-		
226610	Fam78b	MGI:2443050		
320116	C030019I05Rik	MGI:2443410		
330164	C130026L21Rik	MGI:3041189		
319772	C130050O18Rik	MGI:2442694		
12260	C1qb	MGI:88224		
12262	C1qc	MGI:88225		
67389	Fam132a	MGI:1914639		
56745	C1qtnf1	MGI:1919254		
69183	C1qtnf2	MGI:1916433		
81799	C1qtnf3	MGI:1932136		
109323	C1qtnf7	MGI:1925911		
319564	C230012O17Rik	MGI:2442283		
319712	C230013L11Rik	MGI:2442581		
224171	C330027C09Rik	MGI:2146335		
320003	C430014K11Rik	-		
223978	Cpped1	MGI:2443300		
110382	C8b	MGI:88236		
29866	Cabp2	MGI:1352749		
73660	Cabp4	MGI:1920910		
58226	Cacna1h	MGI:1928842		
12298	Cacnb4	MGI:103301		
109624	Cald1	MGI:88250		
70405	Calml3	MGI:1917655		
12322	Camk2a	MGI:88256		
12325	Camk2g	MGI:88259		
381122	Capn13	MGI:2685789		
76459	Car12	MGI:1923709		
213819	Casd1	MGI:2384865		
225865	Catsper1	MGI:2179947		
76856	Catsper3	MGI:1924106		
216001	Cbara1	MGI:2384909		
12409	Cbr2	MGI:107200		
109857	Cbr3	MGI:1309992		
54638	Ccdc22	MGI:1859608		
207607	Ccdc40	MGI:2443893		
276920	Ccdc42	MGI:3045254		
69339	Ccdc54	MGI:1916589		
72454	Ccdc71	MGI:1919704		
66717	Ccdc96	MGI:1913967		
20302	Ccl3	MGI:98260		
20304	Ccl5	MGI:98262		
20307	Ccl8	MGI:101878		
12448	Ccne2	MGI:1329034		
12771	Ccr3	MGI:104616		
252837	Ccrl1	MGI:2181676		
68891	Cd177	MGI:1916141		
57781	Cd200r1	MGI:1889024		
170786	Cd209a	MGI:2157942		
12483	Cd22	MGI:88322		
18106	Cd244	MGI:109294		
217303	Cd300a	MGI:2443411		
12489	Cd33	MGI:99440		
12504	Cd4	MGI:88335		
21939	Cd40	MGI:88336		
17221	Cd46	MGI:1203290		
12516	Cd7	MGI:88344		
12517	Cd72	MGI:88345		
217866	Cdc42bpb	MGI:2136459		
215654	Cdh12	MGI:109503		
12555	Cdh15	MGI:106672		
12558	Cdh2	MGI:88355		
22295	Cdh23	MGI:1890219		
12561	Cdh4	MGI:99218		
234854	Cdk10	MGI:2448549		
12566	Cdk2	MGI:104772		
12577	Cdkn1c	MGI:104564		
66338	Cdrt4	MGI:1913588		
386463	Cdsn	MGI:3505689		
67315	Ceacam12	MGI:1914565		
72431	Ceacam18	MGI:1919681		
12607	Cebpz	MGI:109386		
12613	Cel	MGI:88374		
53883	Celsr2	MGI:1858235		
106952	Arap3	MGI:2147274		
216439	Agap2	MGI:3580016		
223753	Cerk	MGI:2386052		
14962	Cfb	MGI:105975		
68185	Chchd8	MGI:1915435		
107932	Chd4	MGI:1344380		
218865	Chdh	MGI:1860776		
12654	Chi3l1	MGI:1340899		
12660	Chka	MGI:107760		
83453	Chrdl1	MGI:1933172		
11438	Chrna4	MGI:87888		
110835	Chrna5	MGI:87889		
214901	Chtf18	MGI:2384887		
216197	Ckap4	MGI:2444926		
23844	Clca3	MGI:1346342		
229933	Clca5	MGI:2139758		
12723	Clcn1	MGI:88417		
56492	Cldn18	MGI:1929209		
51811	Clec4f	MGI:1859834		
224796	Clic5	MGI:1917912		
94040	Clmn	MGI:2136957		
232370	Clstn3	MGI:2178323		
70031	Cmtm8	MGI:2447167		
12789	Cnga2	MGI:108040		
12802	Cnr2	MGI:104650		
66797	Cntnap2	MGI:1914047		
12810	Coch	MGI:1278313		
12818	Col14a1	MGI:1341272		
12821	Col17a1	MGI:88450		
94216	Col4a6	MGI:2152695		
12836	Col7a1	MGI:88462		
69456	Commd10	MGI:1916706		
27784	Commd8	MGI:1343485		
12846	Comt1	MGI:88470		
23789	Coro1b	MGI:1345963		
12862	Cox6a2	MGI:104649		
235415	Cplx3	MGI:2384571		
71957	Cpsf3l	MGI:1919207		
56264	Cpxm1	MGI:1934569		
55987	Cpxm2	MGI:1926006		
208647	Creb3l2	MGI:2442695		
114570	Crip3	MGI:2152434		
72832	Crtac1	MGI:1920082		
12954	Cryaa	MGI:88515		
12971	Crym	MGI:102675		
246277	Csad	MGI:2180098		
12977	Csf1	MGI:1339753		
12978	Csf1r	MGI:1339758		
13000	Csnk2a2	MGI:88547		
29873	Cspg5	MGI:1352747		
13009	Csrp3	MGI:1330824		
13011	Cst7	MGI:1298217		
13013	Cst9	MGI:1340053		
13014	Cstb	MGI:109514		
108062	Cstf2	MGI:1343054		
54366	Ctnnal1	MGI:1859649		
229445	Ctso	MGI:2139628		
103841	Cuedc1	MGI:2144281		
14007	Cugbp2	MGI:1338822		
13052	Cxadr	MGI:1201679		
56744	Pf4	MGI:1888711		
319478	Cxxc4	MGI:2442112		
76279	Cyp2d26	MGI:1923529		
13108	Cyp2g1	MGI:109612		
170716	Cyp4f13	MGI:2158641		
12879	Cys1	MGI:2177632		
27528	D0H4S114	MGI:99444		
108160	Fam50a	MGI:1351626		
216169	Fam108a	MGI:106388		
52897	D11Bwg0517e	MGI:106368		
66039	D14Ertd449e	MGI:1196450		
210998	D15Ertd621e	MGI:1277178		
28075	Pppde2	MGI:106313		
114585	D17H6S53E	MGI:90673		
76539	D19Ertd737e	MGI:1289174		
320169	D330022A01Rik	MGI:2443519		
382137	Fdxacb1	MGI:3584513		
320379	D630028G08Rik	MGI:2443915		
243612	D630042P16Rik	MGI:2443733		
68171	D730048I06Rik	MGI:1915421		
239167	D930020E02Rik	MGI:3045308		
208846	Daam1	MGI:1914596		
76441	Daam2	MGI:1923691		
59036	Dact1	MGI:1891740		
13166	Dbh	MGI:94864		
56320	Dbn1	MGI:1931838		
386753	Dbpht2	MGI:2679513		
73379	Dcbld2	MGI:1920629		
13190	Dct	MGI:102563		
107986	Ddb2	MGI:1355314		
13196	Asap1	MGI:1342335		
68817	Ddi2	MGI:1917244		
69663	Ddx51	MGI:1916913		
654459	Defb25	MGI:3651158		
266620	Defb36	MGI:2385956		
229541	Dennd4b	MGI:2446201		
211896	Depdc7	MGI:2139258		
13350	Dgat1	MGI:1333825		
245532	Awat2	MGI:3045345		
13356	Dgcr2	MGI:892866		
331374	Dgkk	MGI:3580254		
110524	Dgkq	MGI:102918		
67422	Dhdds	MGI:1914672		
68460	Dhrs7c	MGI:1915710		
208666	Diras1	MGI:2183442		
239133	Dleu7	MGI:2447771		
12945	Dmbt1	MGI:106210		
140477	Dmbx1	MGI:2153518		
68922	Dnaic1	MGI:1916172		
56323	Dnajb5	MGI:1930018		
57431	Dnajc4	MGI:1927346		
13419	Dnase1	MGI:103157		
21673	Dntt	MGI:98659		
75974	Dock11	MGI:1923224		
13483	Dpp6	MGI:94921		
64705	Dpys	MGI:1928679		
12934	Dpysl2	MGI:1349763		
66556	Drap1	MGI:1913806		
68566	Caly	MGI:1915816		
13490	Drd3	MGI:94925		
13492	Drd5	MGI:94927		
13512	Dsg3	MGI:99499		
13528	Dtnb	MGI:1203728		
71916	Dus4l	MGI:1919166		
63953	Dusp10	MGI:1927070		
13544	Dvl3	MGI:108100		
101320	Dyrk4	MGI:1330292		
226040	E030010A14Rik	MGI:3583948		
272031	E130309F12Rik	MGI:2445015		
320001	E230015B07Rik	MGI:2443140		
52679	E2f7	MGI:1289147		
545279	Ms4a15	MGI:3617853		
228598	Ebf4	MGI:2385972		
321019	Gpr183	MGI:2442034		
13599	Ecel1	MGI:1343461		
52430	Echdc2	MGI:1289238		
13601	Ecm1	MGI:103060		
13607	Eda	MGI:1195272		
13608	Edar	MGI:1343498		
192193	Edem1	MGI:2180139		
13610	S1pr3	MGI:1339365		
13614	Edn1	MGI:95283		
13616	Edn3	MGI:95285		
13617	Ednra	MGI:105923		
66656	Eef1d	MGI:1913906		
27984	Efhd2	MGI:106504		
13641	Efnb1	MGI:102708		
101592	Eftud1	MGI:2141969		
13645	Egf	MGI:95290		
112407	Egln3	MGI:1932288		
114615	Elac1	MGI:1890495		
270162	Elmod1	MGI:3583900		
13717	Eln	MGI:95317		
54326	Elovl2	MGI:1858960		
12686	Elovl3	MGI:1195976		
13723	Emb	MGI:95321		
208194	Exog	MGI:2143333		
12495	Entpd1	MGI:102805		
12496	Entpd2	MGI:1096863		
13822	Epb4.1l2	MGI:103009		
226352	Epb4.1l5	MGI:103006		
13835	Epha1	MGI:107381		
13840	Epha6	MGI:108034		
13842	Epha8	MGI:109378		
270190	Ephb1	MGI:1096337		
67425	Eps8l1	MGI:1914675		
99662	Eps8l3	MGI:2139743		
108670	Epsti1	MGI:1915168		
26918	Ern2	MGI:1349436		
50527	Ero1l	MGI:1354385		
27886	Dgcr14	MGI:107854		
69524	Esam	MGI:1916774		
71690	Esm1	MGI:1918940		
105988	Espl1	MGI:2146156		
13982	Esr1	MGI:1352467		
26380	Esrrb	MGI:1346832		
13984	Esx1	MGI:1096388		
14029	Evx2	MGI:95462		
211446	Exoc3	MGI:2443972		
227715	Exosc2	MGI:2385133		
69639	Exosc8	MGI:1916889		
14043	Ext2	MGI:108050		
14062	F2r	MGI:101802		
320463	F630111L10Rik	MGI:2444074		
319526	F730015K02Rik	-		
60527	Fads3	MGI:1928740		
23873	Faim	MGI:1344387		
69169	Faim3	MGI:1916419		
237211	Fancb	MGI:2448558		
223254	Farp1	MGI:2446173		
14113	Fbl	MGI:95486		
14115	Fbln2	MGI:95488		
14118	Fbn1	MGI:95489		
14119	Fbn2	MGI:95490		
233902	Fbxl19	MGI:3039600		
231670	Fbxo21	MGI:1924223		
71865	Fbxo30	MGI:1919115		
67731	Fbxo32	MGI:1914981		
30838	Fbxw4	MGI:1354698		
64435	Fcamr	MGI:1927803		
435653	Fcrlb	MGI:3576487		
14156	Fen1	MGI:102779		
14158	Fert2	MGI:105917		
260298	Fev	MGI:2449712		
30938	Fgd3	MGI:1353657		
14165	Fgf10	MGI:1099809		
14178	Fgf7	MGI:95521		
14183	Fgfr2	MGI:95523		
14199	Fhl1	MGI:1298387		
14202	Fhl4	MGI:1338765		
14239	Foxs1	MGI:95546		
243853	Fkrp	MGI:2447586		
224613	Flywch1	MGI:2442638		
14262	Fmo3	MGI:1100496		
226564	Fmo4	MGI:2429497		
384061	Fndc5	MGI:1917614		
14282	Fosb	MGI:95575		
17301	Foxd2	MGI:1347471		
17425	Foxk1	MGI:1347488		
15218	Foxn1	MGI:102949		
232288	Frmd4b	MGI:2141794		
56223	Fscn3	MGI:1890386		
14314	Fstl1	MGI:102793		
56095	Ftsj3	MGI:1860295		
72018	Fundc1	MGI:1919268		
18550	Furin	MGI:97513		
14343	Fut1	MGI:109375		
56188	Fxyd1	MGI:1889273		
108017	Fxyd4	MGI:1889005		
14381	G6pdx	MGI:105979		
14387	Gaa	MGI:95609		
210710	Gab3	MGI:2387324		
57436	Gabarapl1	MGI:1914980		
78754	Galntl2	MGI:1926004		
14427	Galr1	MGI:1096364		
14447	Gapdhs	MGI:95653		
14456	Gas6	MGI:95660		
67210	Gatad1	MGI:1914460		
14472	Gbx2	MGI:95668		
74375	Gcc1	MGI:1921625		
14531	Gcm1	MGI:108045		
14560	Gdf10	MGI:95684		
14573	Gdnf	MGI:107430		
14580	Gfap	MGI:95697		
14585	Gfra1	MGI:1100842		
243897	Ggn	MGI:2181461		
231932	Gimap7	MGI:1349657		
243374	Gimap8	MGI:2685303		
14612	Gja4	MGI:95715		
14613	Gja5	MGI:95716		
14617	Gjd2	MGI:1334209		
14619	Gjb2	MGI:95720		
14634	Gli3	MGI:95729		
230587	Glis1	MGI:2386723		
14657	Glra4	MGI:95750		
234407	Glt25d1	MGI:1924348		
74782	Glt8d2	MGI:1922032		
107146	Glyat	MGI:2147502		
212539	Gm266	MGI:2685112		
243967	Ntn5	MGI:2685330		
217648	Gm527	MGI:2685373		
279029	Gm711	MGI:2685557		
219026	Fam12	MGI:2684921		
381201	Gm962	MGI:2685808		
69080	Gmppa	MGI:1916330		
66355	Gmpr	MGI:1913605		
14670	Gnal1	MGI:95764		
14675	Gna14	MGI:95769		
14682	Gnaq	MGI:95776		
14686	Gnat2	MGI:95779		
14702	Gng2	MGI:102705		
230737	Gnl2	MGI:2385207		
14723	Gp1ba	MGI:1333744		
54368	Gp9	MGI:1860137		
227289	Gpbar1	MGI:2653863		
14734	Gpc3	MGI:104903		
103978	Gpc5	MGI:1194894		
68453	Gpihbp1	MGI:1915703		
241070	Gpr1	MGI:2385324		
245424	Gpr101	MGI:2685211		
80885	Niacr1	MGI:1933383		
77596	Gpr110	MGI:1924846		
14738	Gpr12	MGI:101909		
239853	Gpr128	MGI:2441732		
240239	Gpr151	MGI:2441887		
269053	Gpr152	MGI:2685519		
241263	Gpr158	MGI:2441697		
574402	Gpr17	MGI:3584514		
70771	Gpr173	MGI:1918021		
14760	Gpr19	MGI:892973		
73010	Gpr22	MGI:1920260		
78134	Lpar4	MGI:1925384		
233919	Gpr26	MGI:2441758		
93690	Gpr45	MGI:2135882		
237175	Gpr64	MGI:2446854		
238377	Gpr68	MGI:2441763		
243270	Gpr81	MGI:2441671		
319200	Gpr82	MGI:2441734		
67298	Gprasp1	MGI:1917418		
93746	Gprc5d	MGI:1935037		
210198	Gprc6a	MGI:2429498		
207798	Gramd1c	MGI:2443024		
53623	Gria3	MGI:95810		
14805	Grik1	MGI:95814		
14813	Grin2c	MGI:95822		
74053	Grip1	MGI:1921303		
330914	Grit	MGI:2450166		
17713	Grpel1	MGI:1334417		
14829	Grpr	MGI:95836		
101612	Grwd1	MGI:2141989		
227753	Gsn	MGI:95851		
76263	Gstk1	MGI:1923513		
103140	Gstt3	MGI:2143526		
107477	Guca1b	MGI:1194489		
268756	Gulo	MGI:1353434		
27357	Gyg	MGI:1351614		
14933	Gyk	MGI:106594		
14938	Gzma	MGI:109266		
14945	Gzmk	MGI:1298232		
15001	H2-Oa	MGI:95924		
67552	H2afy3	MGI:1914802		
109815	H47	MGI:95994		
100198	H6pd	MGI:2140356		
15109	Hal	MGI:96010		
15112	Hao1	MGI:96011		
73940	Hapln2	MGI:2137300		
15117	Has2	MGI:107821		
15161	Hcfc1	MGI:105942		
15165	Hcn1	MGI:1096392		
387285	Hcrtr2	MGI:2680765		
15185	Hdac6	MGI:1333752		
77446	Heg1	MGI:1924696		
56198	Heyl	MGI:1860511		
15216	Hfe	MGI:109191		
69585	Hfe2	MGI:1916835		
15233	Hgd	MGI:96078		
54426	Hgfac	MGI:1859281		
15242	Hhex	MGI:96086		
319152	Hist1h3h	MGI:2448349		
319159	Hist1h4j	MGI:2448436		
319176	Hist2h2ac	MGI:2448316		
78303	Hist3h2ba	MGI:1925553		
15360	Hmgcs2	MGI:101939		
15371	Hmx1	MGI:107178		
56258	Hnrnph2	MGI:1201779		
77963	Hook1	MGI:1925213		
15401	Hoxa4	MGI:96176		
109663	Hoxc11	MGI:96193		
15426	Hoxc8	MGI:96198		
15434	Hoxd3	MGI:96207		
170638	Hpcal4	MGI:2157521		
192232	Hps4	MGI:2177742		
94175	Hrg	MGI:2146636		
225192	Hrh4	MGI:2429635		
15483	Hsd11b1	MGI:103562		
15512	Hspa2	MGI:96243		
243912	Hspb6	MGI:2685325		
72459	Htatsf1	MGI:1919709		
15551	Htr1b	MGI:96274		
68180	Hyi	MGI:1915430		
545660	I0C0044D17Rik	MGI:3588230		
54167	Icos	MGI:1858745		
15904	Id4	MGI:99414		
15925	Ide	MGI:96412		
67834	Idh3a	MGI:1915084		
15931	Ids	MGI:96417		
76933	Ifi27l2a	MGI:1924183		
71586	Ifih1	MGI:1918836		
66141	Ifitm3	MGI:1913391		
15977	Ifnb1	MGI:107657		
15979	Ifngr1	MGI:107655		
16000	Igf1	MGI:96432		
16002	Igf2	MGI:96434		
16006	Igfbp1	MGI:96436		
16147	Ihh	MGI:96533		
271424	Ip6k3	MGI:3045325		
56489	Ikbke	MGI:1929612		
16165	Il13ra2	MGI:1277954		
239114	Il17d	MGI:2446510		
50905	Il17rb	MGI:1355292		
16175	Il1a	MGI:96542		
16176	Il1b	MGI:96543		
16177	Il1r1	MGI:96545		
16181	Il1rn	MGI:96547		
60504	Il21r	MGI:1890475		
83430	Il23a	MGI:1932410		
209590	Il23r	MGI:2181693		
16186	Il2rg	MGI:96551		
16187	Il3	MGI:96552		
16189	Il4	MGI:96556		
12765	Il8rb	MGI:105303		
67444	Ilkap	MGI:1914694		
23918	Impdh2	MGI:109367		
12695	Inadl	MGI:1277960		
16330	Inpp5b	MGI:103257		
16331	Inpp5d	MGI:107357		
230673	Ipo13	MGI:2385205		
243621	Iqsec3	MGI:2677208		
16179	Irak1	MGI:107420		
16364	Irf4	MGI:1096873		
50916	Irx4	MGI:1355275		
53606	Isg15	-		
16425	Itih2	MGI:96619		
16431	Itm2a	MGI:107706		
83964	Jam3	MGI:1933825		
20591	Kdm5c	MGI:99781		
59091	Jph2	MGI:1891496		
16485	Kcna1	MGI:96654		
16494	Kcna6	MGI:96663		
16497	Kcnab1	MGI:109155		
16506	Kcnd1	MGI:96671		
66240	Kcne1l	MGI:1913490		
246133	Kcne2	MGI:1891123		
66733	Kcng4	MGI:1913983		
211468	Kcnh8	MGI:2445160		
56379	Kcnj1	MGI:1927248		
16513	Kcnj10	MGI:1194504		
16515	Kcnj12	MGI:108495		
211480	Kcnj14	MGI:2384820		
16517	Kcnj16	MGI:1314842		
332396	Kcnk18	MGI:2685627		
16535	Kcnq1	MGI:108083		
240595	Kcnv2	MGI:2670981		
105785	Kdelr3	MGI:2145953		
16559	Kif17	MGI:1098229		
16574	Kif5c	MGI:1098269		
16582	Kifc3	MGI:109202		
17311	Kitl	MGI:96974		
66277	Klf15	MGI:1929988		
78267	Klhdc8b	MGI:1925517		
93688	Klhl1	MGI:2136335		
240756	Klhl12	MGI:2385619		
69540	Klk10	MGI:1916790		
16622	Klk1b5	MGI:892020		
16624	Klk1b8	MGI:892018		
56640	Klk4	MGI:1861379		
19144	Klk6	MGI:1343166		
23993	Klk7	MGI:1346336		
259277	Klk8	MGI:1343327		
503550	Klri1	MGI:3530275		
70394	Kptn	MGI:1890380		
16770	Lalba	MGI:96742		
16816	Lcat	MGI:96755		
227627	Lcn13	MGI:2387617		
16821	Lcn4	MGI:102668		
78076	Lcn8	MGI:2135945		
18826	Lcp1	MGI:104808		
16826	Ldb2	MGI:894670		
24131	Ldb3	MGI:1344412		
16841	Lect2	MGI:1278342		
57275	Lenep	MGI:1930020		
56072	Lgals12	MGI:1929094		
246316	Lgi2	MGI:2180196		
108927	Lhfp	MGI:1920048		
16890	Lipe	MGI:96790		
381983	Lmtk3	MGI:3039582		
637749	Gm10543	MGI:3648344		
67776	Vwa5a	MGI:1915026		
74365	Lonrf3	MGI:1921615		
231798	Lrch4	MGI:1917193		
233067	Lrfn3	MGI:2442512		
214345	Lrrc1	MGI:2442313		
67580	Lrrc18	MGI:1914830		
109245	Lrrc39	MGI:1924557		
230654	Lrrc41	MGI:2441984		
72946	Lrrc47	MGI:1920196		
240899	Lrrc52	MGI:1924118		
70552	Lrrc56	MGI:1917802		
320184	Lrrc58	MGI:2443542		
243371	Lrrc61	MGI:2652848		
319476	Lrtm1	MGI:2442106		
67103	Ptgr1	MGI:1914353		
268977	Ltbp1	MGI:109151		
233271	Luzp2	MGI:1889615		
17068	Ly6d	MGI:96881		
266614	Ly6g5b	MGI:2385809		
23936	Lynx1	MGI:1345180		
17140	Magea4	MGI:1333839		
107528	Magee1	MGI:2148149		
66449	Magmas	MGI:1913699		
17153	Mal	MGI:892970		
26403	Map3k11	MGI:1346880		
68652	Map3k7ip2	MGI:1915902		
26414	Mapk10	MGI:1346863		
19094	Mapk11	MGI:1338024		
19099	Mapk8ip1	MGI:1309464		
17169	Mark3	MGI:1341865		
232944	Mark4	MGI:1920955		
11720	Mat1a	MGI:88017		
17179	Matk	MGI:99259		
17182	Matn3	MGI:1328350		
17194	Mbl1	MGI:96923		
17195	Mbl2	MGI:96924		
171170	Mbnl3	MGI:2444912		
17201	Mc3r	MGI:96929		
17203	Mc5r	MGI:99420		
78038	Mccc2	MGI:1925288		
17224	Mcpt1	MGI:96937		
17225	Mcpt2	MGI:96938		
17231	Mcpt8	MGI:1261780		
109264	Me3	MGI:1916679		
26922	Mecr	MGI:1349441		
59024	Med12	MGI:1926212		
69792	Med6	MGI:1917042		
214058	Megf11	MGI:1920951		
210029	Metrnl	MGI:2384806		
56335	Mettl3	MGI:1927165		
30060	Mfi2	MGI:1353421		
17312	Mgl1	MGI:96975		
338320	Mia2	MGI:2159614		
320878	Mical2	MGI:2444947		
70427	Mier2	MGI:1917677		
17330	Minpp1	MGI:1336159		
17339	Mip	MGI:96990		
170790	Mlc1	MGI:2157910		
67468	Mmd	MGI:1914718		
100465	Mobkl2c	MGI:2140623		
56738	Mocs1	MGI:1928904		
75746	Morc4	MGI:1922996		
83456	Mov10l1	MGI:1891384		
223726	Mpped1	MGI:106316		
77037	Mrap	MGI:1924287		
244238	Mrgpre	MGI:2441884		
381974	Mrgprg	MGI:3033145		
67840	Mrp63	MGI:1915090		
19935	Mrpl23	MGI:1196612		
232536	Mrps35	MGI:2385255		
170813	Ms4a3	MGI:2158468		
64380	Ms4a4c	MGI:1927656		
69774	Ms4a6b	MGI:1917024		
56184	Msgn1	MGI:1860483		
19882	Mst1r	MGI:99614		
270685	Mthfd1l	MGI:1924836		
17772	Mtm1	MGI:1099452		
244701	Mtnr1b	MGI:2181726		
17829	Muc1	MGI:97231		
66175	Mustn1	MGI:1913425		
17882	Myh2	MGI:1339710		
17888	Myh6	MGI:97255		
140781	Myh7	MGI:2155600		
17885	Myh8	MGI:1339712		
17909	Myo10	MGI:107716		
360013	Myo18a	MGI:2667185		
17920	Myo6	MGI:104785		
17926	Myoc	MGI:1202864		
17930	Myom2	MGI:1328358		
17932	Myt1	MGI:1100535		
